name,units,description
Soot Conc. Eng 1,N/A,"Placeholder, not used"
Soot Dilution Eng 1,vol/vol,Soot sample dilution
Exhaust T Eng 1,K,Exhaust temperature at emissions sampling location
Exhaust P Eng 1,Pa,Exhaust pressure at emissions sampling location
Concentration,N/A,"Placeholder, not used"
"NO (350,3000) 191C       ",ppm vol/vol,NO volume fraction by FTIR
NO2 (150) 191C (1of2)    ,ppm vol/vol,Range 1 NO2 volume fraction from FTIR
NO2 (2000) 191C (2of2)   ,ppm vol/vol,Range 2 NO2 volume fraction from FTIR
"N2O (100,200,300) 191C   ",ppm vol/vol,N2O volume fraction by FTIR
NH3 (300) 191C (1of2)    ,ppm vol/vol,Range 1 NH3 volume fraction from FTIR
NH3 (3000) 191C (2of2)   ,ppm vol/vol,Range 2 NH3 volume fraction from FTIR
HNCO (400) 191C          ,ppm vol/vol,HNCO volume fraction from FTIR
H2O% (20) 191C           ,% vol/vol,H2O volume fraction by FTIR
Formaldehyde (70) 191C   ,ppm vol/vol,Formaldehyde volume fraction by FTIR
Urea by-product (AU) 191C,ppm vol/vol,Urea by-product volume fraction by FTIR
CO2% (20) 191C           ,% vol/vol,CO2 volume fraction by FTIR
CO (500) 191C (1of2)     ,ppm vol/vol,Range 1 CO volume fraction by FTIR
CO% (1) 191C (2of2)      ,% vol/vol,Range 2 CO volume fraction by FTIR
"Propylene (200,1000) 191C",ppm vol/vol,Propylene volume fraction by FTIR
Diesel (C1 4500) 191C    ,ppm vol/vol,Diesel volume fraction by FTIR
"Ethylene (100,3000) 191C ",ppm vol/vol,Ethylene volume fraction by FTIR
CH4 (250) 191C (1of2)    ,ppm vol/vol,Range 1 CH4 volume fraction by FTIR
CH4 (3000) 191C (2of2)   ,ppm vol/vol,Range 2 CH4 volume fraction by FTIR
Ethane (1000) 191C       ,ppm vol/vol,Ethane volume fraction by FTIR
Acetylene (1000) 191C    ,ppm vol/vol,Acetylene volume fraction by FTIR
NOxP (20) 191C           ,ppm vol/vol,NOx precursor species volume fraction by FTIR
Acrolein 191c            ,ppm vol/vol,Acrolein volume fraction by FTIR
SO2 (300) 191C           ,ppm vol/vol,SO2 volume fraciton by FTIR
SO3 (150) 191C           ,ppm vol/vol,SO3 volume fraction by FTIR
Propane (1000) 191C      ,ppm vol/vol,Propane volume fraction by FTIR
NO2 autorange            ,ppm vol/vol,Autorange calculated NO2 volume fraction by FTIR
CO autorange             ,ppm vol/vol,Autorange calculated CO volume fraction by FTIR
CH4 autorange            ,ppm vol/vol,Autorange calculated CH4 volume fraction by FTIR
NH3 autorange            ,ppm vol/vol,Autorange calculated NH3 volume fraction by FTIR
NOx autorange            ,ppm vol/vol,Autorange calculated NOx volume fraction by FTIR
CO autorange dry         ,ppm vol/vol,Autorange calculated CO volume fraction excluding H2O by FTIR
CO2% autorange dry       ,% vol/vol,Autorange calculated CO2 volume fraction excluding H2O by FTIR
NO dry                   ,ppm vol/vol,Autorange calculated NO volume fraction excluding H2O by FTIR
NO2 autorange dry        ,ppm vol/vol,Autorange calculated NO2 volume fraction excluding H2O by FTIR
NOx autorange dry        ,ppm vol/vol,Autorange calculated NOx volume fraction excluding H2O by FTIR
FIDeq THC ppmC           ,ppm vol/vol,FID equivalent total unburned hydrocarbons calculated by FTIR
FIDeq NMHC ppmC          ,ppm vol/vol,FID equivalent non-methane unburned hydrocarbons calculated by FTIR
FIDeq NMNEHC ppmC        ,ppm vol/vol,FID equivalent non-methane non-ethane unburned hydrocarbons calculated by FTIR
N2O autorange            ,ppm vol/vol,Autorange calculated N2O volume fraction by FTIR
CO2% autorange           ,% vol/vol,Autorange calculated CO2 volume fraction by FTIR
FTIR NMHC ppmC           ,ppm vol/vol,FTIR calculated non-methane unburned hydrocarbon volume fraction
FTIR NMNEHC ppmC         ,ppm vol/vol,FTIR calculated non-methane non-ethane unburned hydrocarbon volume fraction
